image_id, file_name, complexity, entities, actions, structure_who, structure_what, structure_where, structure_color, structure_shape, structure_sound, structure_size, structure_number, structure_movement, question_who, question_what, question_where, question_color, question_shape, question_sound, question_size, question_number, question_movement
001, image_001.png, 1, cat, sit, cat, window;cat, window, orange;blue;white,,meow;purr,small,1,,,What animal is in the image?,
002, image_002.png,
003, image_003.png,
004, image_004.png,
005, image_005.png,
006, image_006.png,
007, image_007.png,
008, image_008.png,
009, image_009.png,
010, image_010.png,
011, image_011.png,
012, image_012.png,
013, image_013.png,
014, image_014.png,
015, image_015.png,
016, image_016.png,
017, image_017.png,
018, image_018.png, 
019, image_019.png,
020, image_020.png,
